source,seed,attack,expected,ber,ecc_pressure,rms,peak,zcr,centroid,hf_ratio,lf_ratio,flatness,edge_ratio,column_shift_pressure
data\eval_audio\speech1.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.052032727748155594,0.263885498046875,0.0142897177699116,237.0983782229855,8.847214520539289e-06,0.9996446727110221,0.05403075679465797,0.00423802656486315,0.3097297924555222
data\eval_audio\speech1.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.05203604698181152,0.26498088240623474,0.038978388570402436,238.0861241677218,6.836635647686756e-05,0.9995671047918038,0.1525386764450286,0.004387741035129219,0.3161996432683649
data\eval_audio\speech1.wav,42,crop,CROPPING,0.14,0.14,0.05203251168131828,0.263885498046875,0.01407477342417226,237.09572437220794,8.838727883378416e-06,0.9996447451777617,0.053924846178413095,0.006151681402039787,0.30986548324243207
data\eval_audio\speech1.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.05203268304467201,0.2638269066810608,0.016153475704486896,237.07067579414937,7.132105372401738e-06,0.9996463937248554,0.007521540567125014,0.0042379042227407345,0.30895825469458116
data\eval_audio\speech1.wav,42,resample,RESAMPLING,0.12,0.12,0.052032701671123505,0.2637990415096283,0.016362978421220177,237.08073319647727,7.899832644223377e-06,0.999645619766959,0.004148466010041967,0.0042379318801428695,0.309115092387699
data\eval_audio\speech1.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.05191140994429588,0.26327022910118103,0.0142897177699116,237.09837822298556,8.847214520539287e-06,0.9996446727110222,0.05403075679469313,0.004238026822701595,0.30972979245551735
data\eval_audio\speech1.wav,42,compression,COMPRESSION,0.11,0.11,0.052605561912059784,0.25,0.0142897177699116,331.1669494025695,0.004095076890336169,0.990140223408402,0.505203902044205,0.0,0.3724009669539272
data\eval_audio\speech1.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04241819307208061,0.2462334930896759,0.0142897177699116,227.16048568786567,8.243372242294405e-06,0.9996107001962533,0.05532206476020957,0.0005671337325305384,0.31635037294201795
data\eval_audio\speech2.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.015905234962701797,0.1942291259765625,0.016113305684239257,501.0047292139759,1.6439759177246356e-05,0.997302542400146,0.02028240694463858,10.281626572088364,0.25156413538177275
data\eval_audio\speech2.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.01591348461806774,0.1937352865934372,0.3261784352230251,511.3051205190082,0.0006535746986374244,0.9964674051675257,0.37198255622353166,10.271828494439754,0.2983571273545203
data\eval_audio\speech2.wav,42,crop,CROPPING,0.14,0.14,0.015674874186515808,0.1942291259765625,0.016014739443934764,498.02994630163766,1.678907351773e-05,0.9973559529074044,0.02071653302994509,9.559879598088349,0.24888208419853547
data\eval_audio\speech2.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.015904642641544342,0.19374972581863403,0.10219347794769924,500.57660386952745,1.6184722953195271e-06,0.9973723491711338,0.00038740972414164543,10.28209958094793,0.2507392140857462
data\eval_audio\speech2.wav,42,resample,RESAMPLING,0.12,0.12,0.015905234962701797,0.19420744478702545,0.1969004708433479,501.0039402229079,1.6394463956618488e-05,0.9973025875823956,0.0014279497825355615,10.281627620022185,0.2513897967816064
data\eval_audio\speech2.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.015317055396735668,0.18704646825790405,0.016113305684239257,501.00472921397596,1.6439759177246366e-05,0.997302542400146,0.020282406948386317,10.281627390480246,0.25156413538152167
data\eval_audio\speech2.wav,42,compression,COMPRESSION,0.11,0.11,0.016581788659095764,0.2083333283662796,0.016113305684239257,888.8521353194006,0.018800615236169407,0.9573966322407584,0.5965483828060274,10.008409950979656,0.3868882990916367
data\eval_audio\speech2.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.008798510767519474,0.10912611335515976,0.016113305684239257,508.5602845340747,1.5707972786236174e-05,0.997821088553305,0.02196586097445787,2.4862283960518567,0.252803257987409
data\eval_audio\speech3.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.019235923886299133,0.125091552734375,0.014950741607937147,405.56199707093697,1.248968151896711e-07,0.9998256378323473,0.009849967627229526,3.107878011340563,0.17868522837884634
data\eval_audio\speech3.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.019243089482188225,0.12502312660217285,0.23702157045566047,412.6973114598423,0.00043538205718452735,0.9992554365987398,0.2532467683546503,3.1072246686951317,0.2228072499023355
data\eval_audio\speech3.wav,42,crop,CROPPING,0.14,0.14,0.019070986658334732,0.125091552734375,0.014769379579100584,403.23788691810813,2.3109497849882163e-06,0.9998276476575807,0.011905440545878436,3.0732834401941758,0.17817776558723206
data\eval_audio\speech3.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.019235920161008835,0.12508265674114227,0.045333531746493086,405.56035048897724,3.6814591971631316e-08,0.9998257965448519,0.00042713701037625364,3.1078772199086555,0.17834136587961952
